D (-1,-1,-1) (1,2,4)
D (-1,-1,-1) (5,5,4)
D (-1,-1,-1) (0,3,5)
D (-1,-1,-1) (2,3,0)
D (-1,-1,-1) (3,0,5)
D (-1,-1,-1) (1,5,4)
C 0 16
C 1 3
C 2 1
C 3 10
C 4 20
C 5 4
C 6 21
C 7 5
C 8 11
C 9 18
C 10 15
C 11 1
C 12 19
C 13 6
C 14 21
C 15 18
C 16 22
C 17 15
C 18 24
C 19 22
C 20 25
C 21 19
C 22 16
C 23 17
C 24 26
C 25 5
C 26 25
C 27 24
C 28 12
C 29 10
C 30 21
C 31 15
C 32 3
C 33 26
C 34 9
C 35 1
C 36 21
C 37 16
C 38 7
C 39 5
C 40 15
C 41 12
C 42 9
C 43 2
C 44 21
C 45 26
C 46 26
C 47 8
C 48 7
C 49 7
C 50 15
C 51 6
C 52 25
C 53 4
C 54 3
C 55 12
C 56 22
C 57 15
C 58 24
C 59 10
C 60 16
C 61 25
C 62 4
C 63 14
C 64 2
C 65 8
C 66 2
C 67 23
C 68 15
C 69 3
C 70 9
C 71 24
C 72 22
C 73 4
C 74 10
C 75 11
C 76 2
C 77 0
C 78 19
C 79 17
C 80 21
C 81 24
C 82 22
C 83 4
C 84 10
C 85 26
C 86 24
C 87 24
C 88 19
C 89 16
C 90 2
C 91 18
C 92 15
C 93 16
C 94 15
C 95 22
C 96 21
C 97 10
C 98 3
C 99 17
C 100 21
C 101 25
C 102 16
C 103 1
C 104 4
C 105 20
C 106 11
C 107 16
C 108 15
C 109 7
C 110 7
C 111 4
C 112 0
C 113 1
C 114 25
C 115 18
C 116 15
C 117 5
C 118 16
C 119 6
C 120 25
C 121 12
C 122 15
C 123 25
C 124 4
C 125 6
C 126 23
C 127 21
C 128 10
C 129 7
C 130 20
C 131 5
C 132 18
C 133 12
C 134 9
C 135 3
C 136 22
C 137 22
C 138 16
C 139 5
C 140 2
C 141 12
C 142 11
C 143 23
C 144 8
C 145 7
C 146 10
C 147 26
C 148 16
C 149 10
C 150 2
C 151 2
C 152 0
C 153 0
C 154 0
C 155 0
C 156 0
C 157 0
C 158 0
C 159 0
C 160 0
C 161 0
C 162 0
C 163 0
C 164 0
C 165 0
C 166 0
C 167 0
C 168 0
C 169 0
C 170 0
C 171 0
C 172 0
C 173 0
C 174 0
C 175 0
C 176 0
C 177 0
C 178 0
C 179 0
C 180 0
C 181 0
C 182 0
C 183 0
C 184 0
C 185 0
C 186 0
C 187 0
C 188 0
C 189 0
C 190 0
C 191 0
C 192 0
C 193 0
C 194 0
C 195 0
C 196 0
C 197 0
C 198 0
C 199 0
C 200 0
C 201 0
C 202 0
C 203 0
C 204 0
C 205 0
C 206 0
C 207 0
C 208 0
C 209 0
C 210 0
C 211 0
C 212 0
C 213 0
C 214 0
C 215 0
C 216 0
C 217 0
C 218 0
C 219 0
C 220 0
C 221 0
C 222 0
C 223 0
C 224 0
C 225 0
C 226 0
C 227 0
C 228 0
C 229 0
C 230 0
C 231 0
C 232 0
C 233 0
C 234 0
C 235 0
C 236 0
C 237 0
C 238 0
C 239 0
C 240 0
C 241 0
C 242 0
C 243 0
C 244 0
C 245 0
C 246 0
C 247 0
C 248 0
C 249 0
C 250 0
C 251 0
C 252 0
C 253 0
C 254 0
C 255 0
C 256 0
C 257 0
C 258 0
C 259 0
C 260 0
C 261 0
C 262 0
C 263 0
C 264 0
C 265 0
C 266 0
C 267 0
C 268 0
C 269 0
C 270 0
C 271 0
C 272 0
C 273 0
C 274 0
C 275 0
C 276 0
C 277 0
C 278 0
C 279 0
C 280 0
C 281 0
C 282 0
C 283 0
C 284 0
C 285 0
C 286 0
C 287 0
C 288 0
C 289 0
C 290 0
C 291 0
C 292 0
C 293 0
C 294 0
C 295 0
C 296 0
C 297 0
C 298 0
C 299 0
C 300 0
C 301 0
C 302 0
C 303 0
C 304 0
C 305 0
C 306 0
C 307 0
C 308 0
C 309 0
C 310 0
C 311 0
C 312 0
C 313 0
C 314 0
C 315 0
C 316 0
C 317 0
C 318 0
C 319 0
C 320 0
C 321 0
C 322 0
C 323 0
C 324 0
C 325 0
C 326 0
C 327 0
C 328 0
C 329 0
C 330 0
C 331 0
C 332 0
C 333 0
C 334 0
C 335 0
C 336 0
C 337 0
C 338 0
C 339 0
C 340 0
C 341 0
C 342 0
C 343 0
C 344 0
C 345 0
C 346 0
C 347 0
C 348 0
C 349 0
C 350 0
C 351 0
C 352 0
C 353 0
C 354 0
C 355 0
C 356 0
C 357 0
C 358 0
C 359 0
C 360 0
C 361 0
C 362 0
C 363 0
C 364 0
C 365 0
C 366 0
C 367 0
C 368 0
C 369 0
C 370 0
C 371 0
C 372 0
C 373 0
C 374 0
C 375 0
C 376 0
C 377 0
C 378 0
C 379 0
C 380 0
C 381 0
C 382 1
C 383 0
C 384 0
C 385 0
C 386 0
C 387 0
C 388 0
C 389 9
C 390 10
C 391 10
C 392 17
C 393 0
C 394 8
C 395 11
C 396 8
C 397 26
C 398 24
C 399 11
C 400 6
C 401 20
C 402 25
C 403 14
C 404 22
I 4 1 15 (2,1,4) (0,1,-1,0)|(1,-1,1,0)
I 4 3 8 (0,0,4) (-1,0,1,0)
I 0 3 5 (2,2,2) (0,-1,1,0)|(1,1,-1,0)
I 3 2 14 (1,5,5) (1,-1,1,0)
